token_symbol,start_date,end_date,row_count,status,missing_dates,duplicate_rows,missing_price,missing_cex_volume,missing_dex_volume,zero_cex_volume,zero_dex_volume
AAVE,2026-01-08,2026-07-06,180,ok,0,0,0,0,0,0,0
ARB,2026-01-08,2026-07-06,180,ok,0,0,0,0,0,0,0
CRV,2026-01-08,2026-07-06,180,ok,0,0,0,0,0,0,0
ENA,2026-01-08,2026-07-06,180,ok,0,0,0,0,0,0,0
LDO,2026-01-08,2026-07-06,180,ok,0,0,0,0,0,0,0
LINK,2026-01-08,2026-07-06,180,ok,0,0,0,0,0,0,0
OP,2026-01-08,2026-07-06,180,ok,0,0,0,0,0,0,0
PENDLE,2026-01-08,2026-07-06,180,ok,0,0,0,0,0,0,0
PEPE,2026-01-08,2026-07-06,180,ok,0,0,0,0,0,0,0
UNI,2026-01-08,2026-07-06,180,ok,0,0,0,0,0,0,0
