check_type,subset_name,factor_name,row_count,bucket_count,low_bucket_n,high_bucket_n,low_factor_mean,high_factor_mean,low_return_mean,high_return_mean,high_minus_low_return_mean,low_return_median,high_return_median,low_win_rate,high_win_rate
overall,all_tokens,cex_volume_confirmed_mom_7d,515,5,103,103,-0.1326225082337282,0.14951231372018675,0.035366312558878135,0.037049148417459085,0.00168283585858095,0.05621556074947298,0.05357930738663996,0.6990291262135923,0.6310679611650486
leave_one_token_out,exclude_aave,cex_volume_confirmed_mom_7d,412,5,83,83,-0.1043875435525282,0.15926671725792338,0.04177215161657597,0.041975415030635586,0.00020326341405961512,0.06230736599447306,0.058154043179482695,0.7590361445783133,0.6506024096385542
leave_one_token_out,exclude_arb,cex_volume_confirmed_mom_7d,412,5,83,83,-0.13840641719774874,0.12398541000859958,0.024748987759622566,0.03931645688235156,0.014567469122728993,0.04459955813408967,0.05045368426309871,0.6385542168674698,0.6265060240963856
leave_one_token_out,exclude_link,cex_volume_confirmed_mom_7d,412,5,83,83,-0.14345990593183505,0.15642468825881944,0.03468940138107425,0.030174720987628943,-0.004514680393445308,0.06125322412383327,0.043771010750283335,0.7108433734939759,0.5903614457831325
leave_one_token_out,exclude_op,cex_volume_confirmed_mom_7d,412,5,83,83,-0.14110605783277097,0.15011396518617284,0.033264224050169246,0.03897613299186428,0.005711908941695036,0.05572088857620816,0.049965301621958336,0.6746987951807228,0.6506024096385542
leave_one_token_out,exclude_uni,cex_volume_confirmed_mom_7d,412,5,83,83,-0.13072054725367052,0.15257777345885912,0.04309405341205415,0.03741894979791066,-0.005675103614143487,0.07048180363351686,0.058154043179482695,0.7228915662650602,0.6385542168674698
named_exclusion,exclude_pepe_arb,cex_volume_confirmed_mom_7d,412,5,83,83,-0.13840641719774874,0.12398541000859958,0.024748987759622566,0.03931645688235156,0.014567469122728993,0.04459955813408967,0.05045368426309871,0.6385542168674698,0.6265060240963856
named_exclusion,exclude_meme_layer2,cex_volume_confirmed_mom_7d,309,5,62,62,-0.15210805728000057,0.11609108323518856,0.01923662860891249,0.04651211547952246,0.027275486870609975,0.033485691194768186,0.05177230450429915,0.5806451612903226,0.6774193548387096
token_group,defi,cex_volume_confirmed_mom_7d,206,5,42,41,-0.17824432924179878,0.11840866755390565,0.021814806004736183,0.02367693831472799,0.0018621323099918055,0.04754727291102179,0.02674943717762579,0.5952380952380952,0.5853658536585366
token_group,infra,cex_volume_confirmed_mom_7d,103,5,21,21,-0.08184421171828006,0.11124056638984145,0.02735129179879054,0.08673963845858239,0.05938834665979185,0.023519383899843538,0.07724999329506987,0.6666666666666666,0.8095238095238095
token_group,layer2,cex_volume_confirmed_mom_7d,206,5,42,41,-0.09716727195842421,0.1892061195854959,0.061338900925009904,0.03406580185737561,-0.027273099067634296,0.07385038916636921,0.058572045087641245,0.8571428571428571,0.6097560975609756
