token_symbol,exchange,observation_days,first_date,last_date,is_selected
1INCH,binance,180,2026-01-17,2026-07-15,1
1INCH,bitget,180,2026-01-16,2026-07-14,1
1INCH,bybit,180,2026-01-17,2026-07-15,1
1INCH,coinbase,180,2026-01-17,2026-07-15,1
1INCH,crypto_com,180,2026-01-17,2026-07-15,1
1INCH,gate,180,2026-01-17,2026-07-15,1
1INCH,htx,180,2026-01-16,2026-07-14,1
1INCH,kraken,180,2026-01-17,2026-07-15,1
1INCH,kucoin,180,2026-01-17,2026-07-15,1
1INCH,mexc,180,2026-01-17,2026-07-15,1
1INCH,okx,180,2026-01-17,2026-07-15,1
1INCH,upbit,180,2026-01-17,2026-07-15,1
AAVE,binance,180,2026-01-17,2026-07-15,1
AAVE,bitget,180,2026-01-16,2026-07-14,1
AAVE,bybit,180,2026-01-17,2026-07-15,1
AAVE,coinbase,180,2026-01-17,2026-07-15,1
AAVE,crypto_com,180,2026-01-17,2026-07-15,1
AAVE,gate,180,2026-01-17,2026-07-15,1
AAVE,htx,180,2026-01-16,2026-07-14,1
AAVE,kraken,180,2026-01-17,2026-07-15,1
AAVE,kucoin,180,2026-01-17,2026-07-15,1
AAVE,mexc,180,2026-01-17,2026-07-15,1
AAVE,okx,180,2026-01-17,2026-07-15,1
AAVE,upbit,180,2026-01-17,2026-07-15,1
ARB,binance,180,2026-01-17,2026-07-15,1
ARB,bitget,180,2026-01-16,2026-07-14,1
ARB,bybit,180,2026-01-17,2026-07-15,1
ARB,coinbase,180,2026-01-17,2026-07-15,1
ARB,crypto_com,180,2026-01-17,2026-07-15,1
ARB,gate,180,2026-01-17,2026-07-15,1
ARB,htx,180,2026-01-16,2026-07-14,1
ARB,kraken,180,2026-01-17,2026-07-15,1
ARB,kucoin,180,2026-01-17,2026-07-15,1
ARB,mexc,180,2026-01-17,2026-07-15,1
ARB,okx,180,2026-01-17,2026-07-15,1
ARB,upbit,180,2026-01-17,2026-07-15,1
BONK,binance,180,2026-01-17,2026-07-15,1
BONK,bitget,180,2026-01-16,2026-07-14,1
BONK,bybit,180,2026-01-17,2026-07-15,1
BONK,coinbase,180,2026-01-17,2026-07-15,1
BONK,crypto_com,180,2026-01-17,2026-07-15,1
BONK,gate,180,2026-01-17,2026-07-15,1
BONK,htx,180,2026-01-16,2026-07-14,1
BONK,kraken,180,2026-01-17,2026-07-15,1
BONK,kucoin,180,2026-01-17,2026-07-15,1
BONK,mexc,180,2026-01-17,2026-07-15,1
BONK,okx,180,2026-01-17,2026-07-15,1
BONK,upbit,180,2026-01-17,2026-07-15,1
CAKE,binance,180,2026-01-17,2026-07-15,1
CAKE,bitget,180,2026-01-16,2026-07-14,1
CAKE,bybit,180,2026-01-17,2026-07-15,1
CAKE,coinbase,180,2026-01-17,2026-07-15,1
CAKE,crypto_com,0,,,0
CAKE,gate,180,2026-01-17,2026-07-15,1
CAKE,htx,180,2026-01-16,2026-07-14,1
CAKE,kraken,180,2026-01-17,2026-07-15,1
CAKE,kucoin,180,2026-01-17,2026-07-15,1
CAKE,mexc,180,2026-01-17,2026-07-15,1
CAKE,okx,0,,,0
CAKE,upbit,0,,,0
COMP,binance,180,2026-01-17,2026-07-15,1
COMP,bitget,180,2026-01-16,2026-07-14,1
COMP,bybit,180,2026-01-17,2026-07-15,1
COMP,coinbase,180,2026-01-17,2026-07-15,1
COMP,crypto_com,180,2026-01-17,2026-07-15,1
COMP,gate,180,2026-01-17,2026-07-15,1
COMP,htx,180,2026-01-16,2026-07-14,1
COMP,kraken,180,2026-01-17,2026-07-15,1
COMP,kucoin,180,2026-01-17,2026-07-15,1
COMP,mexc,180,2026-01-17,2026-07-15,1
COMP,okx,180,2026-01-17,2026-07-15,1
COMP,upbit,180,2026-01-17,2026-07-15,1
CRV,binance,180,2026-01-17,2026-07-15,1
CRV,bitget,180,2026-01-16,2026-07-14,1
CRV,bybit,180,2026-01-17,2026-07-15,1
CRV,coinbase,180,2026-01-17,2026-07-15,1
CRV,crypto_com,180,2026-01-17,2026-07-15,1
