date,token_symbol,close,cex_volume_usd,exchange_count,included_exchanges
2026-01-17,1INCH,0.1599,2429392.640298113,12,binance;bitget;bybit;coinbase;crypto_com;gate;htx;kraken;kucoin;mexc;okx;upbit
2026-01-17,AAVE,173.84,47543205.26719957,12,binance;bitget;bybit;coinbase;crypto_com;gate;htx;kraken;kucoin;mexc;okx;upbit
2026-01-17,ARB,0.2166,24732399.309779186,12,binance;bitget;bybit;coinbase;crypto_com;gate;htx;kraken;kucoin;mexc;okx;upbit
2026-01-17,BONK,1.039e-05,18023925.18057417,12,binance;bitget;bybit;coinbase;crypto_com;gate;htx;kraken;kucoin;mexc;okx;upbit
2026-01-17,CAKE,2.102,12310090.682209812,9,binance;bitget;bybit;coinbase;gate;htx;kraken;kucoin;mexc
2026-01-17,COMP,26.93,3298532.130801433,12,binance;bitget;bybit;coinbase;crypto_com;gate;htx;kraken;kucoin;mexc;okx;upbit
2026-01-17,CRV,0.4171,29560253.703899782,11,binance;bitget;bybit;coinbase;crypto_com;gate;htx;kraken;kucoin;mexc;okx
2026-01-17,EIGEN,0.404,7299325.288362269,10,binance;bitget;bybit;coinbase;gate;htx;kraken;kucoin;mexc;okx
2026-01-17,ENA,0.219,29604599.79422691,12,binance;bitget;bybit;coinbase;crypto_com;gate;htx;kraken;kucoin;mexc;okx;upbit
2026-01-17,ENS,10.4,6411121.255568111,12,binance;bitget;bybit;coinbase;crypto_com;gate;htx;kraken;kucoin;mexc;okx;upbit
2026-01-17,ETHFI,0.74,5932854.229021611,10,binance;bitget;bybit;coinbase;gate;htx;kraken;kucoin;mexc;okx
2026-01-17,GMX,7.99,1064699.480929925,10,binance;bitget;bybit;crypto_com;gate;htx;kraken;kucoin;mexc;okx
2026-01-17,GRT,0.04271,10983471.909795813,12,binance;bitget;bybit;coinbase;crypto_com;gate;htx;kraken;kucoin;mexc;okx;upbit
2026-01-17,JTO,0.401,5829284.426242069,11,binance;bitget;bybit;coinbase;gate;htx;kraken;kucoin;mexc;okx;upbit
2026-01-17,JUP,0.2216,3285604.4014169183,11,binance;bitget;bybit;crypto_com;gate;htx;kraken;kucoin;mexc;okx;upbit
2026-01-17,LDO,0.6077,4391842.544431455,11,binance;bitget;bybit;coinbase;crypto_com;gate;htx;kraken;kucoin;mexc;okx
2026-01-17,LINK,13.75,57525163.18787162,12,binance;bitget;bybit;coinbase;crypto_com;gate;htx;kraken;kucoin;mexc;okx;upbit
2026-01-17,MORPHO,1.308,2581502.52117882,10,binance;bitget;bybit;coinbase;gate;htx;kraken;kucoin;mexc;okx
2026-01-17,ONDO,0.3852,27383674.068326376,12,binance;bitget;bybit;coinbase;crypto_com;gate;htx;kraken;kucoin;mexc;okx;upbit
2026-01-17,OP,0.3467,15293645.097824214,12,binance;bitget;bybit;coinbase;crypto_com;gate;htx;kraken;kucoin;mexc;okx;upbit
2026-01-17,PENDLE,2.106,6514985.348923673,12,binance;bitget;bybit;coinbase;crypto_com;gate;htx;kraken;kucoin;mexc;okx;upbit
2026-01-17,PEPE,5.79e-06,65610921.44098545,12,binance;bitget;bybit;coinbase;crypto_com;gate;htx;kraken;kucoin;mexc;okx;upbit
2026-01-17,RAY,1.126,3669994.2841134607,11,binance;bitget;coinbase;crypto_com;gate;htx;kraken;kucoin;mexc;okx;upbit
2026-01-17,SHIB,8.49e-06,14218267.390198879,12,binance;bitget;bybit;coinbase;crypto_com;gate;htx;kraken;kucoin;mexc;okx;upbit
2026-01-17,SNX,0.488,9851786.932078654,11,binance;bitget;bybit;coinbase;crypto_com;gate;htx;kraken;kucoin;mexc;okx
2026-01-17,STRK,0.0845,8223749.479603175,11,binance;bitget;bybit;coinbase;crypto_com;gate;htx;kraken;kucoin;mexc;okx
2026-01-17,SUSHI,0.3537,5996482.472952185,11,binance;bitget;bybit;coinbase;crypto_com;gate;htx;kraken;kucoin;mexc;okx
2026-01-17,UNI,5.352,26814582.48152884,12,binance;bitget;bybit;coinbase;crypto_com;gate;htx;kraken;kucoin;mexc;okx;upbit
2026-01-17,WLD,0.5501,15869857.316247895,12,binance;bitget;bybit;coinbase;crypto_com;gate;htx;kraken;kucoin;mexc;okx;upbit
2026-01-17,ZK,0.03432,7220311.0732372,12,binance;bitget;bybit;coinbase;crypto_com;gate;htx;kraken;kucoin;mexc;okx;upbit
2026-01-18,1INCH,0.1511,2924523.296814706,12,binance;bitget;bybit;coinbase;crypto_com;gate;htx;kraken;kucoin;mexc;okx;upbit
2026-01-18,AAVE,168.84,81721842.35289665,12,binance;bitget;bybit;coinbase;crypto_com;gate;htx;kraken;kucoin;mexc;okx;upbit
2026-01-18,ARB,0.2061,24935740.65940801,12,binance;bitget;bybit;coinbase;crypto_com;gate;htx;kraken;kucoin;mexc;okx;upbit
2026-01-18,BONK,9.63e-06,23486361.90818073,12,binance;bitget;bybit;coinbase;crypto_com;gate;htx;kraken;kucoin;mexc;okx;upbit
2026-01-18,CAKE,2.056,11171718.6732218,9,binance;bitget;bybit;coinbase;gate;htx;kraken;kucoin;mexc
2026-01-18,COMP,25.85,6697511.797416158,12,binance;bitget;bybit;coinbase;crypto_com;gate;htx;kraken;kucoin;mexc;okx;upbit
2026-01-18,CRV,0.4006,17730227.96122722,11,binance;bitget;bybit;coinbase;crypto_com;gate;htx;kraken;kucoin;mexc;okx
2026-01-18,EIGEN,0.369,14434093.048335813,10,binance;bitget;bybit;coinbase;gate;htx;kraken;kucoin;mexc;okx
2026-01-18,ENA,0.2044,54028957.743921265,12,binance;bitget;bybit;coinbase;crypto_com;gate;htx;kraken;kucoin;mexc;okx;upbit
2026-01-18,ENS,9.98,7842950.098776368,12,binance;bitget;bybit;coinbase;crypto_com;gate;htx;kraken;kucoin;mexc;okx;upbit
2026-01-18,ETHFI,0.694,10719229.23387256,10,binance;bitget;bybit;coinbase;gate;htx;kraken;kucoin;mexc;okx
2026-01-18,GMX,7.71,2015516.88910673,10,binance;bitget;bybit;crypto_com;gate;htx;kraken;kucoin;mexc;okx
2026-01-18,GRT,0.04035,8939619.463517802,12,binance;bitget;bybit;coinbase;crypto_com;gate;htx;kraken;kucoin;mexc;okx;upbit
2026-01-18,JTO,0.376,5714517.578761863,11,binance;bitget;bybit;coinbase;gate;htx;kraken;kucoin;mexc;okx;upbit
2026-01-18,JUP,0.2085,5599394.655400885,11,binance;bitget;bybit;crypto_com;gate;htx;kraken;kucoin;mexc;okx;upbit
2026-01-18,LDO,0.5791,9579458.39484381,11,binance;bitget;bybit;coinbase;crypto_com;gate;htx;kraken;kucoin;mexc;okx
2026-01-18,LINK,13.32,122955389.53493954,12,binance;bitget;bybit;coinbase;crypto_com;gate;htx;kraken;kucoin;mexc;okx;upbit
